	shannon	observed_otus
KO6	6.22742746661	225.0
WT8	5.08644075721	187.0
KO2	6.09914407119	228.0
KO5	5.95887456969	208.0
OE2	5.62707524624	188.0
WT1	5.26707388269	188.0
WT2	5.89105239676	220.0
WT4	5.85047165371	220.0
KO7	5.87530750994	210.0
KO3	4.76882493319	167.0
WT6	5.65133334726	197.0
OE4	5.72765355	197.0
KO9	5.92524252419	201.0
WT3	6.02778695626	211.0
KO1	5.79042282714	203.0
KO4	5.81191186413	194.0
WT5	5.61443774029	201.0
KO8	5.78166473924	205.0
OE6	5.69858219032	193.0
OE5	5.74265595812	201.0
WT7	6.02280739247	215.0
OE7	5.60158319057	173.0
WT9	5.36659408141	185.0
OE1	5.7882248796	186.0
OE8	5.82826412105	198.0
OE9	5.68381063578	184.0
OE3	5.45172077573	179.0
