	shannon	observed_otus
KO6	6.26007909956	289.0
WT8	5.14932038486	228.0
KO2	6.14870186383	281.0
KO5	5.99222118356	273.0
OE2	5.69975544158	255.0
WT1	5.32124647237	255.0
WT2	5.89832614301	292.0
WT4	5.96300738341	298.0
KO7	5.86545580137	255.0
KO3	4.83413848266	228.0
WT6	5.84356782085	264.0
KO9	6.02481262378	260.0
WT3	6.07203028946	297.0
KO1	5.85017460206	262.0
KO4	5.90647075364	273.0
WT5	5.5196595745	248.0
KO8	5.89837752151	253.0
OE6	5.70409847943	235.0
OE5	5.81223317107	246.0
WT7	6.16810523908	291.0
OE7	5.66596625917	234.0
WT9	5.44220395586	245.0
OE1	5.87159748649	250.0
OE8	5.89517034026	248.0
OE9	5.82240035366	237.0
