	shannon	observed_otus
KO6	6.10699213601	240.0
WT8	4.98707085618	200.0
KO2	6.11930233677	263.0
KO5	6.05432307202	256.0
OE2	5.66165610234	229.0
WT1	5.21985624808	216.0
WT2	5.87851553439	258.0
WT4	5.93489413813	253.0
KO7	5.90809399388	240.0
KO3	4.82202716229	203.0
WT6	5.81158082055	242.0
OE4	5.68543183741	227.0
KO9	5.94746555454	244.0
WT3	5.92012105725	234.0
KO1	5.82575570547	227.0
KO4	5.88332788274	261.0
WT5	5.53962109711	226.0
KO8	5.84267570519	227.0
OE6	5.62809133662	208.0
OE5	5.77438377702	226.0
WT7	6.07087051296	249.0
OE7	5.67742931477	216.0
WT9	5.43708701936	232.0
OE1	5.89546031646	226.0
OE8	5.88689069242	225.0
OE9	5.77497118897	207.0
OE3	5.50367735129	208.0
