	shannon	observed_otus
KO6	5.727453449	104.0
WT8	4.58447621845	72.0
KO2	5.6302986528	103.0
KO5	5.75628603232	104.0
OE2	5.34074761834	87.0
WT1	4.96149433683	89.0
WT2	5.45003514329	98.0
WT4	5.54818503941	98.0
KO7	5.48643244007	93.0
KO3	4.50713854447	70.0
WT6	5.25196160651	85.0
OE4	5.28366230987	89.0
KO9	5.42897559887	89.0
WT3	5.5776574709	97.0
KO1	5.52426280659	98.0
KO4	5.49076760174	92.0
WT5	4.86009230777	76.0
KO8	5.51748020388	97.0
OE6	5.17792278929	83.0
OE5	5.56819419237	99.0
WT7	5.95259642982	105.0
OE7	5.01965247659	76.0
WT9	5.12372145083	86.0
OE1	5.27470315723	92.0
OE8	5.37659183554	86.0
OE9	5.44847692746	89.0
OE3	4.94216351804	78.0
