	shannon	observed_otus
KO6	6.23817618367	229.0
WT8	5.01683575644	183.0
KO2	6.01084674694	230.0
KO5	5.94856389188	219.0
OE2	5.73007854315	210.0
WT1	5.39550423239	215.0
WT2	6.02892815786	244.0
WT4	5.99950489874	223.0
KO7	5.90943340785	208.0
KO3	4.95422201589	195.0
WT6	5.68960304587	199.0
OE4	5.71305301081	217.0
KO9	5.9294962322	225.0
WT3	6.03499384161	239.0
KO1	5.75626987048	216.0
KO4	5.96312302582	232.0
WT5	5.51344982052	199.0
KO8	5.8355862889	218.0
OE6	5.64314680803	195.0
OE5	5.7390909281	201.0
WT7	6.09688424356	227.0
OE7	5.61615142638	183.0
WT9	5.39409633098	198.0
OE1	5.7848010518	195.0
OE8	5.82845081828	207.0
OE9	5.68903749799	194.0
OE3	5.38951364066	185.0
