	shannon	observed_otus
KO6	6.32253955371	301.0
WT8	5.08710411041	241.0
KO2	6.17528740138	319.0
KO5	6.08420067873	312.0
OE2	5.72044275665	273.0
WT1	5.39754646567	277.0
WT2	5.95289718199	310.0
WT4	5.92865671894	306.0
KO7	5.97614227208	280.0
KO3	4.87111085145	234.0
WT6	5.82337159296	277.0
KO9	6.00542857508	271.0
WT3	5.99049266752	294.0
KO1	5.95584357329	282.0
KO4	6.01570255613	291.0
WT5	5.67625865658	267.0
KO8	5.91837845629	273.0
OE6	5.69233428342	246.0
OE5	5.84111630408	265.0
WT7	6.13682109912	293.0
OE7	5.65698502029	241.0
WT9	5.52339663702	276.0
OE1	5.8701481188	257.0
OE8	5.94066778708	259.0
OE9	5.88918309056	264.0
