	shannon	observed_otus
KO6	6.06516997153	180.0
WT8	4.74863135499	129.0
KO2	6.03125380956	178.0
KO5	5.89417164339	170.0
OE2	5.47023293043	142.0
WT1	5.44805323542	166.0
WT2	5.79145860906	183.0
WT4	5.83024846311	177.0
KO7	5.70020955832	160.0
KO3	4.63912354492	137.0
WT6	5.6575199511	166.0
OE4	5.58635383258	154.0
KO9	5.92162996669	164.0
WT3	5.94604949653	171.0
KO1	5.748550028	164.0
KO4	5.85425140569	173.0
WT5	5.41882025219	166.0
KO8	5.70842443498	154.0
OE6	5.70746829522	154.0
OE5	5.76273395896	171.0
WT7	6.01933796076	171.0
OE7	5.62617015272	155.0
WT9	5.39716948157	158.0
OE1	5.7117841278	158.0
OE8	5.72474149085	152.0
OE9	5.78246212012	159.0
OE3	5.43365977371	149.0
