	shannon	observed_otus
KO6	5.52259611299	75.0
WT8	4.65815946582	65.0
KO2	5.38045493673	73.0
KO5	5.40406440386	79.0
OE2	5.27337512426	69.0
WT1	4.86604851481	71.0
WT2	5.30153122355	81.0
WT4	5.47000093883	80.0
KO7	5.03683667624	64.0
KO3	4.38573398234	58.0
WT6	5.13408083716	65.0
OE4	5.21293712928	72.0
KO9	5.44817544427	73.0
WT3	5.68566570458	88.0
KO1	5.42869745619	79.0
KO4	5.23996995502	69.0
WT5	4.92313728117	68.0
KO8	5.2289693673	75.0
OE6	5.23907604369	71.0
OE5	5.55837594307	83.0
WT7	5.50248547175	80.0
OE7	5.18359369232	70.0
WT9	4.86680295125	64.0
OE1	5.28352988966	70.0
OE8	5.17024971487	65.0
OE9	5.14471633054	65.0
OE3	4.91220116553	65.0
