	shannon	observed_otus
KO6	6.18125112342	163.0
WT8	4.97785408421	111.0
KO2	6.01572494006	172.0
KO5	6.00212744394	169.0
OE2	5.4995789365	128.0
WT1	5.11941947958	139.0
WT2	5.68292495833	164.0
WT4	5.64177033755	151.0
KO7	5.81972297448	144.0
KO3	4.73966868325	128.0
WT6	5.46707732264	135.0
OE4	5.50615381098	137.0
KO9	5.7270013599	142.0
WT3	5.81950524134	162.0
KO1	5.52745545196	140.0
KO4	5.77471835948	149.0
WT5	5.23532627201	125.0
KO8	5.73858289613	140.0
OE6	5.51769277323	132.0
OE5	5.55184797783	137.0
WT7	5.97722307112	162.0
OE7	5.64534227502	135.0
WT9	5.54519583771	144.0
OE1	5.66031490487	137.0
OE8	5.82336626537	142.0
OE9	5.69656043566	144.0
OE3	5.3814667179	136.0
