	shannon	observed_otus
KO6	6.21649030586	235.0
WT8	4.95895521188	187.0
KO2	6.09899751805	253.0
KO5	6.0583163511	244.0
OE2	5.64905874405	219.0
WT1	5.34567296772	218.0
WT2	5.93703703968	252.0
WT4	5.88534259536	242.0
KO7	5.85130120537	226.0
KO3	4.80687039651	197.0
WT6	5.68803976751	228.0
OE4	5.74142353647	224.0
KO9	5.97136632148	234.0
WT3	5.86338891287	232.0
KO1	5.72977847568	224.0
KO4	5.87789527515	236.0
WT5	5.51143633392	219.0
KO8	5.8433810117	222.0
OE6	5.68310054639	200.0
OE5	5.77751355524	214.0
WT7	6.03338015557	235.0
OE7	5.6918361606	214.0
WT9	5.51107989691	223.0
OE1	5.80909871436	214.0
OE8	5.92793052022	217.0
OE9	5.79595894072	225.0
OE3	5.50670617091	205.0
