	shannon	observed_otus
KO6	5.97945055801	140.0
WT8	4.90484420869	104.0
KO2	5.82004326446	139.0
KO5	5.68763414593	125.0
OE2	5.40081730226	118.0
WT1	5.13228223032	111.0
WT2	5.62461437142	131.0
WT4	5.63270727455	134.0
KO7	5.4847988238	120.0
KO3	4.64894223961	110.0
WT6	5.73709436298	128.0
OE4	5.4059187388	113.0
KO9	5.56389762758	117.0
WT3	5.50574430548	113.0
KO1	5.59366539275	129.0
KO4	5.54987459988	115.0
WT5	5.45499509474	114.0
KO8	5.69049747344	118.0
OE6	5.51123938511	115.0
OE5	5.57502425584	121.0
WT7	5.78504928788	118.0
OE7	5.49384853811	114.0
WT9	5.21731365247	115.0
OE1	5.66652439738	112.0
OE8	5.74121427786	119.0
OE9	5.67179109886	122.0
OE3	5.27695190399	107.0
