	shannon	observed_otus
KO6	6.27153011367	272.0
WT8	5.07527140075	233.0
KO2	6.15526746496	282.0
KO5	6.00977589955	261.0
OE2	5.69494019818	239.0
WT1	5.40072573429	260.0
WT2	5.95288845827	274.0
WT4	5.91251674454	263.0
KO7	6.00558945603	256.0
KO3	4.79837340607	228.0
WT6	5.72923970505	247.0
KO9	6.08204622598	262.0
WT3	5.99753364911	261.0
KO1	5.77867036542	257.0
KO4	5.93657640113	273.0
WT5	5.63682328999	244.0
KO8	5.80939632475	245.0
OE6	5.71889873975	226.0
OE5	5.82860264512	245.0
WT7	6.06898231906	270.0
OE7	5.65128652618	232.0
WT9	5.48364807076	248.0
OE1	5.86799951324	240.0
OE8	5.88008198209	234.0
OE9	5.86968172028	244.0
