	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.37451990034	534.865384615	381.0	2.13744
WT8	5.16074169437	432.018518519	321.0	2.01451
KO2	6.27942408834	573.075949367	422.0	2.23551
KO5	6.17367916191	550.444444444	396.0	2.04228
WT1	5.4877283661	573.571428571	375.0	2.23555
WT2	6.03052125552	527.217391304	400.0	2.22747
WT4	6.11888553681	627.048387097	427.0	2.11703
KO7	5.98353069976	549.22	371.0	2.21812
KO3	4.89403168488	482.590909091	331.0	2.14106
WT6	5.88242513925	537.0	365.0	1.82651
KO9	6.11458838891	504.355932203	373.0	2.08627
WT3	6.07778409525	565.216666667	396.0	2.29297
KO1	5.89702289519	560.352941176	375.0	2.249
KO4	6.01970084948	513.8	371.0	2.30824
WT5	5.71570621078	525.529411765	356.0	1.97605
KO8	5.92115997113	549.06	360.0	2.25528
WT7	6.15950962772	565.517241379	388.0	2.10213
WT9	5.602845044	535.0	365.0	2.09785
