	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.28881994477	541.381818182	372.0	2.0716
WT8	5.13355782997	421.105263158	314.0	1.9891
KO2	6.22050927037	499.685185185	363.0	2.28863
KO5	6.22617745213	593.862068966	396.0	2.13056
WT1	5.44273326068	449.25	340.0	2.14977
WT2	6.02717254092	604.192307692	395.0	2.29291
WT4	6.03199544523	568.590909091	397.0	2.10771
KO7	6.00974926545	496.015151515	367.0	2.08607
KO3	4.80536524471	433.571428571	296.0	2.06317
WT6	5.81953969662	499.042553191	342.0	1.89832
KO9	6.1009254959	450.916666667	351.0	2.22733
WT3	6.07380709605	487.016666667	364.0	2.22648
KO1	5.87432978508	493.0	362.0	2.19698
KO4	5.98392194408	639.736842105	365.0	2.13787
WT5	5.63618097324	447.608695652	322.0	2.11619
KO8	5.91066903562	567.125	341.0	1.95799
WT7	6.16993617941	554.918032787	379.0	2.02169
WT9	5.52900876757	501.7	334.0	2.0796
