	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.39708633225	543.085714286	410.0	2.08725
WT8	5.14196962525	471.631578947	340.0	1.99149
KO2	6.25600865296	588.590909091	417.0	2.25749
KO5	6.20843942526	558.424242424	411.0	2.17468
WT1	5.44980846245	510.09375	375.0	2.20443
WT2	6.04119171658	536.220588235	411.0	2.27903
WT4	6.04276078411	615.043478261	433.0	2.1171
KO7	6.02127607535	524.516666667	376.0	2.24179
KO3	4.85659497771	448.158730159	331.0	2.17797
WT6	5.85615938148	615.813953488	383.0	1.9448
KO9	6.13375126854	532.637931034	379.0	2.06904
WT3	6.09258606543	495.444444444	384.0	2.26264
KO1	5.88072107841	542.942307692	369.0	2.27063
KO4	5.98948857663	489.245901639	378.0	2.09435
WT5	5.63036626925	515.166666667	348.0	2.00523
KO8	5.9231532906	614.52	385.0	2.16807
WT7	6.16419651407	578.303571429	397.0	2.10104
WT9	5.61851385345	521.684210526	370.0	2.22712
