	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.37940324393	571.086956522	440.0	2.30004
WT8	5.16965507361	490.444444444	379.0	2.03664
KO2	6.2359289962	653.4	465.0	2.31089
KO5	6.19287127826	657.679245283	444.0	2.26341
WT1	5.46904307124	580.114754098	416.0	2.25749
WT2	6.02488275883	600.859375	451.0	2.35203
WT4	6.09692520492	641.0125	484.0	2.17423
KO7	6.03078353732	626.781818182	429.0	2.27212
KO3	4.89344606474	527.238095238	390.0	2.25082
WT6	5.82442627891	592.631578947	417.0	2.05752
KO9	6.14645876819	620.196721311	437.0	2.2394
WT3	6.09423504685	603.52173913	448.0	2.35187
KO1	5.93211259837	654.892857143	439.0	2.28549
KO4	6.00319455618	551.813333333	433.0	2.30823
WT5	5.68858934182	591.352941176	406.0	2.21886
KO8	5.97374728072	605.6875	424.0	2.19774
WT7	6.21476672354	666.739130435	461.0	2.27931
WT9	5.65729404639	647.818181818	428.0	2.28534
