	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.35017702906	560.12244898	389.0	2.17523
WT8	5.1240001096	471.717948718	318.0	1.97674
KO2	6.27425928537	656.8125	435.0	2.14627
KO5	6.16204000974	572.22	394.0	2.16945
WT1	5.46645922418	507.163934426	376.0	2.23548
WT2	6.01567358138	633.333333333	418.0	2.29293
WT4	6.07147702595	612.467532468	441.0	2.10771
KO7	5.97617926612	457.5	365.0	2.24895
KO3	4.82203724792	522.538461538	346.0	2.02966
WT6	5.84869053252	557.153846154	378.0	1.99067
KO9	6.07241136823	568.58490566	385.0	1.93802
WT3	6.05769523112	568.172413793	398.0	2.33735
KO1	5.88318449432	628.083333333	389.0	2.24865
KO4	6.00623250264	545.92	373.0	2.21959
WT5	5.637111076	520.12	355.0	2.16039
KO8	5.94947018619	532.3	362.0	2.10148
WT7	6.1779615045	600.981132075	404.0	2.30131
WT9	5.59384712766	533.052631579	372.0	2.21294
