	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.22833441333	383.085714286	218.0	1.84232
WT8	5.02688021696	243.888888889	157.0	1.10389
KO2	6.112985488	307.682926829	210.0	1.89651
KO5	5.86035158866	300.885714286	194.0	1.66555
OE2	5.59376072184	258.058823529	172.0	1.95571
WT1	5.37110682312	290.181818182	182.0	1.56658
WT2	5.75466144957	277.076923077	194.0	1.83836
WT4	5.89390127506	357.775	216.0	1.84313
KO7	5.81163885963	356.677419355	197.0	1.50199
KO3	4.63032023556	283.037037037	157.0	1.76768
WT6	5.61463241731	319.533333333	180.0	1.17588
OE4	5.61930943396	305.034482759	179.0	1.76859
KO9	5.90365814336	319.533333333	189.0	1.75282
WT3	5.93055030706	376.037037037	200.0	1.83525
KO1	5.81888563713	333.941176471	197.0	1.87355
KO4	5.85358959209	306.903225806	189.0	1.85289
WT5	5.41157575129	242.176470588	167.0	1.78101
KO8	5.76681094683	301.206896552	181.0	1.3132
OE6	5.58852503306	300.6	171.0	1.58901
OE5	5.69669478139	232.0	169.0	1.47541
WT7	5.98116453381	297.222222222	186.0	1.77737
OE7	5.6100507068	267.4375	176.0	1.76556
WT9	5.39461077613	273.870967742	177.0	1.47968
OE1	5.72218208394	254.12	163.0	1.26874
OE8	5.74245064462	267.689655172	172.0	1.78024
OE9	5.61822864811	289.916666667	168.0	1.39026
OE3	5.4753444174	252.025641026	177.0	1.74656
