	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.35997461908	612.96875	443.0	2.28532
WT8	5.17171637715	480.703125	371.0	2.03664
KO2	6.25506520467	635.126582278	468.0	2.10261
KO5	6.20007145314	552.318181818	433.0	2.27847
WT1	5.51724206302	604.739130435	434.0	2.27234
WT2	6.01204071601	652.5	460.0	2.29327
WT4	6.08611005983	616.395348837	474.0	2.15245
KO7	6.07954491104	630.557692308	427.0	2.26376
KO3	4.91939410679	570.226415094	384.0	2.25152
WT6	5.8581158533	652.204081633	418.0	2.10192
KO9	6.13796159972	601.0	427.0	2.20184
WT3	6.11332280348	589.04109589	448.0	2.35187
KO1	5.91805018123	545.246575342	425.0	2.11543
KO4	6.03103866444	675.5	434.0	2.24995
WT5	5.69855100366	513.092307692	390.0	2.19705
KO8	5.95165983807	602.25	416.0	2.13062
WT7	6.19771034665	618.942857143	444.0	2.30145
WT9	5.63021927576	564.313432836	417.0	2.2854
