	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.28918929849	400.75	287.0	2.0491
WT8	5.05036643225	389.7	228.0	1.85886
KO2	6.19163627532	495.243902439	297.0	2.00776
KO5	6.14471253268	426.41025641	281.0	1.91798
OE2	5.72575664033	396.222222222	263.0	1.90666
WT1	5.43347888701	423.081081081	264.0	2.19645
WT2	5.93420648293	426.133333333	288.0	2.09225
WT4	6.06792407627	472.637931034	319.0	2.04635
KO7	5.92720854042	425.583333333	271.0	2.08278
KO3	4.74391916766	369.88372093	238.0	1.83276
WT6	5.76173063848	369.06	264.0	1.65101
KO9	6.01952534146	371.0	272.0	1.90055
WT3	6.01784143439	416.181818182	297.0	2.29249
KO1	5.85552378792	391.9375	276.0	2.15942
KO4	5.94898384623	457.162162162	280.0	1.8829
WT5	5.58735526879	365.25	255.0	2.06504
KO8	5.84432967662	404.0	257.0	1.98324
OE6	5.71055548663	437.823529412	255.0	1.89452
OE5	5.89251417253	416.8125	259.0	1.84472
WT7	6.12078717888	452.117647059	279.0	1.90745
OE7	5.63478053042	370.0	232.0	1.93174
WT9	5.5490904274	358.466666667	255.0	1.84593
OE1	5.85166829469	399.085714286	249.0	1.90216
OE8	5.92177013692	334.0	251.0	1.90105
OE9	5.83805546023	373.170731707	250.0	1.89205
