	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.35845005514	487.255319149	325.0	2.20438
WT8	5.13395974165	360.020408163	259.0	1.90813
KO2	6.22798488089	503.5	336.0	2.023
KO5	6.11174655886	449.775510204	316.0	2.0208
WT1	5.40444634743	415.234042553	290.0	2.17834
WT2	5.99913174107	503.195652174	332.0	1.95195
WT4	6.03789134021	580.923076923	335.0	1.99655
KO7	6.04147335197	480.37254902	321.0	2.04886
KO3	4.85039718785	433.526315789	267.0	1.9394
WT6	5.79226737208	485.384615385	293.0	1.94578
KO9	6.03042514312	407.238095238	287.0	2.06962
WT3	6.00707351196	455.8	313.0	2.11614
KO1	5.87998289266	490.139534884	307.0	2.16821
KO4	5.95368962529	423.111111111	308.0	2.16053
WT5	5.59851925377	425.085714286	275.0	1.9965
KO8	5.92681365126	441.588235294	281.0	1.9374
OE6	5.73459218509	389.923076923	263.0	1.89589
OE5	5.87369487507	421.125	282.0	1.91176
WT7	6.1408434457	499.695652174	323.0	2.1896
OE7	5.68611488091	348.685185185	266.0	1.99763
WT9	5.56635317868	450.87804878	291.0	2.02703
OE9	5.86574776135	398.727272727	277.0	1.56677
