	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.34487907454	565.390625	400.0	2.09422
WT8	5.17075087156	481.117647059	334.0	1.98869
KO2	6.19434390888	537.014492754	402.0	2.30113
KO5	6.16070082425	575.454545455	396.0	2.26385
WT1	5.48184855391	537.3	367.0	2.21894
WT2	6.01053121351	622.385964912	413.0	2.25193
WT4	6.04835757285	556.085714286	409.0	2.06261
KO7	5.98098073574	522.454545455	370.0	2.08642
KO3	4.88597593308	482.682926829	320.0	2.14028
WT6	5.88092559754	578.571428571	380.0	1.96827
KO9	6.10514242575	479.459016393	372.0	2.26062
WT3	6.0453993705	527.571428571	384.0	2.32981
KO1	5.9266090986	566.807692308	377.0	2.01599
KO4	6.03685607192	491.444444444	380.0	2.06471
WT5	5.66326150454	507.108695652	344.0	2.20441
KO8	5.91277138098	594.926829268	361.0	2.23218
WT7	6.13934397784	588.052631579	392.0	2.07224
WT9	5.52434453632	535.404255319	357.0	2.1127
