	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.41861721746	661.161290323	456.0	2.29229
WT8	5.16980456666	503.254237288	374.0	2.05812
KO2	6.26578032527	630.2	469.0	2.25777
KO5	6.18957188443	613.051724138	438.0	2.10841
WT1	5.4761471651	572.0	416.0	2.26288
WT2	6.04860954653	650.406779661	461.0	2.33025
WT4	6.07533286174	652.037037037	485.0	2.12985
KO7	5.9993046355	597.777777778	415.0	2.13013
KO3	4.89557969296	508.610169492	373.0	2.1859
WT6	5.89835864906	581.85	422.0	2.1906
KO9	6.12000901648	598.387096774	430.0	2.29479
WT3	6.0887849021	598.083333333	447.0	2.32927
KO1	5.92406126212	586.52173913	431.0	2.26351
KO4	6.04844587221	585.229508197	428.0	2.10935
WT5	5.69408576689	535.472727273	390.0	2.10849
KO8	5.95688545865	531.254237288	402.0	2.08334
WT7	6.22173779581	612.31884058	446.0	2.07985
WT9	5.61166602806	515.876712329	408.0	2.2852
