	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.16931856326	239.5	133.0	1.45841
WT8	4.70503937431	196.363636364	85.0	1.06492
KO2	5.76272055886	213.545454545	119.0	1.5255
KO5	5.73398805274	236.894736842	117.0	1.4299
OE2	5.50877930527	167.875	106.0	1.36331
WT1	5.04396419365	174.333333333	101.0	0.97678
WT2	5.47158631004	173.384615385	112.0	1.53278
WT4	5.63689312079	309.6875	122.0	1.69175
KO7	5.62483497038	189.25	113.0	1.24861
KO3	4.37024532612	184.083333333	82.0	1.38374
WT6	5.55765455341	167.6	106.0	1.11946
OE4	5.53890205151	224.882352941	110.0	1.14216
KO9	5.66544393445	203.047619048	113.0	1.41393
WT3	5.58818613436	196.666666667	108.0	1.55822
KO1	5.31637295569	174.25	100.0	1.65895
KO4	5.88076939393	275.714285714	129.0	1.14606
WT5	5.48037400605	155.041666667	104.0	1.36097
KO8	5.67049309769	262.157894737	120.0	1.47334
OE6	5.44863447473	183.058823529	102.0	0.97496
OE5	5.55508635589	165.24	108.0	1.18251
WT7	5.70546039579	228.714285714	117.0	1.49382
OE7	5.22618568474	167.5	100.0	1.63032
WT9	5.04452678459	163.789473684	94.0	1.38278
OE1	5.50612457013	141.043478261	98.0	1.24771
OE8	5.51817132919	171.5	98.0	1.48353
OE9	5.61104703104	187.5	105.0	0.91727
OE3	5.34336990967	153.4	97.0	1.16075
