	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.39313714926	656.857142857	380.0	2.11522
WT8	5.13459340557	419.705882353	300.0	1.92222
KO2	6.21632265086	619.018867925	385.0	2.00995
KO5	6.21046965586	504.466666667	369.0	2.1807
WT1	5.47540281007	559.571428571	341.0	2.04895
WT2	6.01571845606	576.018518519	380.0	2.27119
WT4	5.99225370916	554.777777778	372.0	2.03954
KO7	6.02377520443	492.466666667	357.0	2.2842
KO3	4.8795456697	469.5	297.0	2.08219
WT6	5.85780459284	471.4	338.0	1.99779
KO9	6.06995421514	461.35	354.0	2.25849
WT3	6.07756144398	547.962264151	367.0	2.13757
KO1	5.85667918189	564.066666667	354.0	2.24851
KO4	6.01486296998	639.263157895	353.0	2.19116
WT5	5.59828042582	473.636363636	305.0	2.13112
KO8	5.951594148	527.22	349.0	1.98113
WT7	6.19661924863	617.170212766	373.0	2.24262
WT9	5.59526258912	461.175438596	338.0	2.17543
