	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.36776182484	574.807692308	385.0	2.10802
WT8	5.16019893165	438.679245283	315.0	1.98854
KO2	6.28331670038	587.266666667	396.0	2.27961
KO5	6.14397798472	578.708333333	376.0	1.97605
WT1	5.49127342499	468.267857143	345.0	1.98343
WT2	6.02653985413	502.058823529	369.0	2.26495
WT4	6.0739332141	538.313432836	391.0	2.10757
KO7	6.01759438783	572.15	356.0	2.09466
KO3	4.84810997895	440.638297872	306.0	2.08223
WT6	5.80536022872	502.454545455	350.0	1.88659
KO9	6.10779937011	502.964912281	367.0	2.17308
WT3	6.07805356755	487.016949153	366.0	2.30653
KO1	5.87409177673	548.717391304	355.0	2.20473
KO4	5.97780144511	519.0625	355.0	2.28606
WT5	5.68595329353	478.666666667	341.0	2.19581
KO8	5.94876033815	472.263157895	347.0	2.15795
WT7	6.1570663208	684.162162162	374.0	2.10171
WT9	5.56277488143	496.109090909	346.0	2.17883
