	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.35719516711	520.593220339	365.0	2.09362
WT8	5.13635269321	523.294117647	299.0	1.93092
KO2	6.19816725026	604.5	378.0	2.2348
KO5	6.27961425285	546.904761905	388.0	2.04161
WT1	5.44497890668	455.375	330.0	2.15735
WT2	6.02896043772	499.0	370.0	2.22671
WT4	6.04523801149	564.131147541	376.0	2.08623
KO7	6.03106559203	477.42	337.0	2.07199
KO3	4.83960294763	426.418604651	287.0	2.14171
WT6	5.85653799972	458.775510204	325.0	1.90251
KO9	6.13698202248	521.269230769	355.0	2.03955
WT3	6.03792616424	530.9	350.0	2.29295
KO1	5.8321194812	444.591836735	320.0	2.0604
KO4	5.9965210642	456.388888889	335.0	2.0725
WT5	5.68332099899	494.028571429	310.0	2.07206
KO8	5.84136599125	437.05	322.0	2.27397
WT7	6.11280736706	466.058823529	333.0	1.94457
OE7	5.71857138672	399.272727273	300.0	2.02501
WT9	5.52340774795	512.645833333	327.0	2.16805
