	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.17651955591	305.357142857	210.0	1.87183
WT8	4.98948638266	258.75	160.0	1.3238
KO2	6.02041393318	330.193548387	201.0	1.72697
KO5	5.97746882181	428.0	203.0	1.36323
OE2	5.60384863024	309.193548387	180.0	1.62554
WT1	5.2184020484	288.5	181.0	1.81869
WT2	5.73106670678	296.0	191.0	1.77126
WT4	5.98958274475	310.130434783	211.0	1.92939
KO7	5.82746234217	276.84375	183.0	1.54959
KO3	4.76179890733	281.125	156.0	1.71271
WT6	5.6261674849	283.166666667	184.0	1.28101
OE4	5.67425556376	290.34375	184.0	1.3559
KO9	6.05312766405	319.026315789	204.0	2.01285
WT3	5.94241904149	299.9375	191.0	1.91455
KO1	5.58248259455	291.333333333	185.0	2.03878
KO4	5.75290677987	315.8125	185.0	1.95388
WT5	5.46416509442	319.2	173.0	1.2744
KO8	5.80364770894	268.416666667	185.0	1.21967
OE6	5.50584774921	236.64	156.0	1.17098
OE5	5.74257820734	306.677419355	186.0	1.57118
WT7	5.93632118938	279.689655172	184.0	1.76407
OE7	5.47816304116	245.44	157.0	1.69677
WT9	5.41824149705	315.714285714	179.0	1.71065
OE1	5.80973824261	279.181818182	181.0	1.65358
OE8	5.79388667807	296.344827586	179.0	1.90019
OE9	5.74308356078	273.785714286	172.0	1.17544
OE3	5.41178720228	272.676470588	175.0	1.76133
