	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.38889028892	650.288135593	448.0	2.31489
WT8	5.15888290597	523.962264151	373.0	2.05828
KO2	6.28592200374	630.0125	473.0	2.27961
KO5	6.2224734203	605.5	441.0	2.28525
WT1	5.5284781068	577.275862069	419.0	2.26985
WT2	6.04249843436	688.033898305	467.0	2.33025
WT4	6.09529669777	652.04	476.0	2.15163
KO7	6.05778513226	603.28125	431.0	2.29353
KO3	4.89583429127	553.267857143	382.0	2.24446
WT6	5.88437684609	595.603448276	423.0	1.96551
KO9	6.14943131684	618.406779661	439.0	2.27899
WT3	6.1002981164	593.411764706	442.0	2.32913
KO1	5.92012095556	597.015873016	429.0	2.28535
KO4	6.07110110837	751.651162791	437.0	2.13073
WT5	5.66753533879	510.5	383.0	2.24798
KO8	5.98134129999	576.714285714	411.0	2.12955
WT7	6.2121798514	619.098591549	451.0	2.12469
WT9	5.62299804188	559.151515152	418.0	2.13034
