	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.39726616897	648.25862069	453.0	2.32929
WT8	5.18419028077	558.56	383.0	2.05842
KO2	6.25510979199	566.538461538	454.0	2.27975
KO5	6.1780351785	581.518987342	453.0	2.01968
WT1	5.48991441772	556.88	429.0	2.24803
WT2	6.02230889894	623.064516129	457.0	2.31505
WT4	6.09080614174	635.0	480.0	2.17407
KO7	6.03176829755	549.621621622	431.0	2.20536
KO3	4.92580860476	521.163265306	373.0	2.18424
WT6	5.81283522775	488.181818182	394.0	2.12471
KO9	6.13450060056	617.28358209	446.0	2.31754
WT3	6.10470167727	572.142857143	441.0	2.19653
KO1	5.91885473328	553.658536585	435.0	2.28549
KO4	6.03088421722	630.181818182	447.0	2.28623
WT5	5.67688281758	529.566037736	388.0	2.17525
KO8	5.94394247473	548.234375	409.0	2.20994
WT7	6.21701458942	633.88	460.0	2.25671
WT9	5.61898451836	532.015873016	409.0	2.13746
