	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.35857727041	631.058823529	394.0	2.24802
WT8	5.17077607311	496.269230769	330.0	2.02066
KO2	6.23270730092	630.964912281	405.0	2.19653
KO5	6.18054044373	579.566037736	388.0	1.92475
WT1	5.49150794338	507.842105263	363.0	2.24106
WT2	6.01812964178	529.014925373	398.0	2.31753
WT4	6.05319673454	570.015873016	402.0	2.13003
KO7	5.97646741908	580.219512195	353.0	2.03194
KO3	4.87119440168	451.057692308	325.0	2.1642
WT6	5.86976168957	586.7	375.0	2.12506
KO9	6.12624936225	492.051724138	371.0	2.21636
WT3	6.10969810805	562.666666667	390.0	2.30749
KO1	5.94322466851	527.266666667	372.0	2.26048
KO4	6.00163268109	527.779661017	379.0	2.24246
WT5	5.65125677877	505.575	333.0	2.13849
KO8	5.9679509323	512.882352941	351.0	2.09984
WT7	6.24065469239	570.157894737	387.0	2.30129
WT9	5.55303949242	521.725490196	347.0	1.83845
