	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.39624983042	638.056603774	407.0	2.24939
WT8	5.12092788157	464.42	324.0	1.99211
KO2	6.23521561549	604.103448276	414.0	2.30067
KO5	6.15600164216	542.111111111	382.0	2.2191
WT1	5.45889063441	560.115384615	373.0	2.20437
WT2	6.06836097825	600.766666667	417.0	2.30765
WT4	6.05609236278	586.012987013	429.0	2.07201
KO7	6.04971692395	542.622641509	377.0	2.15205
KO3	4.87163089177	452.448979592	321.0	2.18263
WT6	5.83976889527	480.0	363.0	1.9917
KO9	6.08128322499	514.474576271	381.0	2.263
WT3	6.05208582118	618.708333333	389.0	2.35173
KO1	5.89133810233	571.8125	372.0	2.27035
KO4	6.01576537293	558.142857143	379.0	2.13073
WT5	5.64017381407	567.348837209	357.0	2.21892
KO8	5.96096265387	535.660377358	365.0	2.04242
WT7	6.16308268589	529.428571429	382.0	2.03604
WT9	5.61489765503	606.441860465	367.0	2.144
