	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.2654100468	392.552631579	257.0	1.8951
WT8	5.13809667538	303.783783784	205.0	1.68896
KO2	6.20627777665	411.162790698	264.0	1.98916
KO5	6.12679854591	437.777777778	262.0	1.9515
OE2	5.705413739	407.363636364	229.0	1.93091
WT1	5.37055852434	408.666666667	236.0	1.94436
WT2	5.92698378692	398.833333333	267.0	2.16617
WT4	5.9215641183	505.571428571	266.0	1.93669
KO7	5.94163315476	329.23255814	234.0	1.8441
KO3	4.79594040756	327.607142857	194.0	1.81632
WT6	5.78656219676	321.549019608	234.0	1.88239
OE4	5.76092937403	383.405405405	233.0	1.95691
KO9	5.97427244923	360.243243243	237.0	1.72401
WT3	5.98943338859	380.731707317	245.0	1.94324
KO1	5.84253040844	416.516129032	237.0	2.09111
KO4	5.98409612466	466.757575758	254.0	1.85124
WT5	5.60495914027	329.651162791	228.0	1.70562
KO8	5.84998382175	342.277777778	226.0	1.95805
OE6	5.64675599074	357.517241379	210.0	1.66695
OE5	5.75251329435	342.222222222	210.0	1.54611
WT7	6.10271341424	448.756756757	259.0	1.84306
OE7	5.6328953851	345.285714286	215.0	1.94391
WT9	5.55354209343	446.933333333	236.0	2.10615
OE1	5.83077464551	342.848484848	216.0	1.87993
OE8	5.8895935388	294.357142857	221.0	1.93774
OE9	5.812850145	324.181818182	216.0	1.88455
OE3	5.49055135007	299.533333333	202.0	1.85221
