	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.3231933832	607.333333333	414.0	2.26988
WT8	5.15837196352	489.909090909	349.0	2.01355
KO2	6.27324603063	596.4	441.0	2.2328
KO5	6.19315691403	630.5	429.0	2.08637
WT1	5.49845528581	520.161290323	387.0	2.21922
WT2	6.05574548031	622.438596491	429.0	2.27837
WT4	6.06174425257	644.296875	438.0	2.0721
KO7	6.06311775107	558.703125	411.0	2.09418
KO3	4.92179818268	484.227272727	363.0	2.13778
WT6	5.87912337181	619.926829268	386.0	2.19044
KO9	6.09651880174	587.777777778	405.0	2.21984
WT3	6.07196819831	578.85	412.0	2.33687
KO1	5.89492323372	527.596491228	385.0	2.24562
KO4	5.98766155036	539.454545455	387.0	2.35189
WT5	5.673814718	474.052631579	365.0	2.24071
KO8	5.96000468949	613.385964912	404.0	1.94329
WT7	6.17970613872	522.246575342	402.0	2.30131
WT9	5.60596600295	589.096774194	404.0	2.26271
