	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.34142243142	529.660377358	369.0	2.09317
WT8	5.17143740294	555.5	321.0	2.01445
KO2	6.2621471882	571.767857143	393.0	2.08789
KO5	6.12019698639	561.544117647	395.0	2.09924
WT1	5.40532260579	438.258064516	338.0	2.18236
WT2	5.98622381428	540.516666667	392.0	2.24952
WT4	6.07860763988	584.881355932	398.0	2.11781
KO7	5.99686581164	489.942307692	348.0	2.0719
KO3	4.85711598514	442.558139535	298.0	2.08923
WT6	5.83775572051	462.1	349.0	1.83666
KO9	6.0968766965	532.695652174	356.0	2.21932
WT3	6.04154810469	583.133333333	370.0	2.31523
KO1	5.88398616865	502.442307692	351.0	2.06848
KO4	5.99147118121	611.634146341	364.0	2.1268
WT5	5.65895171026	516.525	332.0	2.18219
KO8	6.01282068378	542.875	360.0	2.03509
WT7	6.18609981411	562.446808511	370.0	2.07923
WT9	5.54351237301	464.692307692	353.0	2.19812
