	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.39290763792	632.654545455	424.0	2.29245
WT8	5.14074547906	467.047619048	346.0	2.01351
KO2	6.2431146385	558.703125	411.0	2.2105
KO5	6.15625124118	564.803571429	396.0	2.24143
WT1	5.47149155736	567.826086957	377.0	2.28486
WT2	6.02164413081	655.018867925	421.0	2.35203
WT4	6.10220540076	629.47761194	442.0	2.15149
KO7	6.03826662178	558.904761905	400.0	2.226
KO3	4.86511661677	470.175438596	347.0	2.05232
WT6	5.85090265144	655.8	394.0	2.14581
KO9	6.13901433281	646.886363636	403.0	2.25707
WT3	6.05867265315	541.322033898	397.0	2.32913
KO1	5.90339261359	523.241935484	388.0	2.27063
KO4	5.99392409138	554.6	395.0	2.131
WT5	5.69129781835	548.384615385	356.0	2.16068
KO8	5.93958216204	590.482758621	390.0	2.21022
WT7	6.22997555955	525.643835616	409.0	2.08713
WT9	5.58913084182	526.053571429	374.0	2.22676
