	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.32385329933	555.571428571	359.0	2.04352
WT8	5.08576434014	399.2	290.0	1.93325
KO2	6.15906550694	569.454545455	377.0	2.14593
KO5	6.12817750516	502.58490566	354.0	2.24147
WT1	5.46000208403	522.170212766	341.0	2.13101
WT2	6.02164742461	574.571428571	376.0	2.28551
WT4	6.06847624736	606.596491228	389.0	1.99544
KO7	6.01590241338	483.355932203	352.0	2.22613
KO3	4.86648679854	481.136363636	305.0	2.09474
WT6	5.83200501384	444.018518519	333.0	1.80797
KO9	6.06595965759	533.170212766	352.0	2.12068
WT3	6.05196311412	537.125	357.0	2.26401
KO1	5.87259462232	486.0	353.0	2.07105
KO4	5.95458170293	502.344827586	351.0	2.0396
WT5	5.69647469955	468.666666667	318.0	2.10225
KO8	5.92831752694	484.87804878	325.0	2.13681
WT7	6.20488245457	561.666666667	371.0	2.16605
WT9	5.60184785848	510.018518519	345.0	2.04306
