	shannon	chao1	observed_otus	PD_whole_tree
KO6	5.87359356281	218.047619048	119.0	1.40081
WT8	4.45394148428	291.5	79.0	0.89577
KO2	5.72060775943	216.789473684	114.0	1.4177
KO5	5.4672648401	211.9375	105.0	1.62263
OE2	5.4251918046	190.0	103.0	1.48381
WT1	4.87366084419	142.04	95.0	1.11193
WT2	5.52099431188	269.052631579	123.0	1.31492
WT4	5.4918769148	228.555555556	113.0	1.19767
KO7	5.61927429763	201.652173913	114.0	1.42105
KO3	4.72850879749	216.214285714	94.0	1.51734
WT6	5.55861665568	231.0625	109.0	1.39318
OE4	5.41648318638	183.769230769	97.0	1.01462
KO9	5.67008183721	173.045454545	108.0	1.04317
WT3	5.52737465115	158.681818182	103.0	1.56521
KO1	5.33976326016	220.0	102.0	1.20459
KO4	5.80095476474	281.0	120.0	1.64001
WT5	5.26483774572	221.272727273	96.0	1.06092
KO8	5.61024221818	214.117647059	110.0	1.12095
OE6	5.46362065867	190.866666667	99.0	1.03182
OE5	5.17753883164	167.5625	91.0	0.9835
WT7	5.63618297448	223.375	109.0	1.48607
OE7	5.32458275804	173.555555556	97.0	1.38064
WT9	4.89669565084	158.25	83.0	1.26062
OE1	5.66921006815	210.666666667	109.0	1.24544
OE8	5.52968981176	206.3125	103.0	1.36706
OE9	5.5198513557	191.4375	102.0	1.12762
OE3	5.23777683604	232.615384615	101.0	1.15118
