	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.39261019084	615.615384615	432.0	2.13052
WT8	5.15656570005	506.053571429	354.0	1.98873
KO2	6.23421305556	574.411764706	423.0	2.07967
KO5	6.20199532683	626.862068966	429.0	2.26032
WT1	5.48736137769	522.904109589	399.0	2.20441
WT2	6.08369330448	571.887096774	426.0	2.29307
WT4	6.09116718246	584.951219512	445.0	2.15245
KO7	6.02004322967	547.411764706	383.0	2.20377
KO3	4.92550533556	526.117647059	354.0	2.01503
WT6	5.83568904083	570.32	384.0	2.01718
KO9	6.12030292289	594.428571429	408.0	2.08145
WT3	6.07686908299	545.045454545	408.0	2.35173
KO1	5.90885226915	551.086956522	406.0	2.27063
KO4	6.00503840342	543.916666667	402.0	2.2929
WT5	5.66200515971	510.875	368.0	2.19687
KO8	5.9681416154	510.098360656	381.0	2.18746
WT7	6.18224310358	602.25	416.0	2.0859
WT9	5.60413944506	601.037735849	393.0	2.22824
