	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.26153194244	318.333333333	189.0	1.44629
WT8	4.72864347939	272.352941176	122.0	1.25211
KO2	6.03722877014	251.6	168.0	1.67254
KO5	5.82269450221	265.24137931	159.0	1.64216
OE2	5.52273849533	293.391304348	149.0	1.75015
WT1	5.46711633133	268.538461538	156.0	1.76699
WT2	5.77122063112	279.037037037	162.0	1.74292
WT4	5.78199729656	288.037037037	162.0	1.68749
KO7	5.74895280857	269.222222222	158.0	1.43371
KO3	4.75957162304	204.0	132.0	1.25838
WT6	5.73959924767	273.12	153.0	1.28371
OE4	5.66195237543	250.941176471	158.0	1.65099
KO9	5.89508176082	267.37037037	159.0	1.73994
WT3	5.93480207808	287.25	176.0	1.58587
KO1	5.52587889417	261.541666667	149.0	1.44157
KO4	5.75435722576	378.619047619	166.0	1.68069
WT5	5.46278827462	248.0	146.0	1.33584
KO8	5.76630098266	266.0	155.0	1.64248
OE6	5.6332323123	217.090909091	146.0	1.63757
OE5	5.59826528937	304.681818182	150.0	1.66207
WT7	6.03020895755	315.565217391	164.0	1.76009
OE7	5.52183318571	219.64	139.0	1.64847
WT9	5.35984809814	254.551724138	151.0	1.54004
OE1	5.62616750977	227.666666667	141.0	1.28855
OE8	5.81541240312	240.75	152.0	1.71277
OE9	5.66102141532	221.375	140.0	1.72163
OE3	5.23204547982	197.75	124.0	1.45963
