	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.37127069847	581.263157895	413.0	2.29327
WT8	5.16195564979	473.016393443	348.0	2.01453
KO2	6.22797160179	570.084507042	421.0	2.25749
KO5	6.20232553242	638.283018868	416.0	2.24863
WT1	5.48384892951	543.275862069	385.0	2.24773
WT2	6.0519577379	576.417910448	427.0	2.30315
WT4	6.04784323297	676.8	443.0	2.17393
KO7	6.04303023452	626.528301887	410.0	2.3155
KO3	4.90409265397	537.32	351.0	1.98607
WT6	5.83953189235	492.158730159	375.0	1.99876
KO9	6.06954885888	572.115384615	385.0	2.09054
WT3	6.0741643594	558.085714286	411.0	2.32927
KO1	5.89926209924	637.934782609	395.0	2.2461
KO4	6.02609909183	536.428571429	389.0	2.28638
WT5	5.69152917332	508.35	375.0	2.17537
KO8	5.93691793673	578.063829787	374.0	2.04223
WT7	6.18154632707	673.234042553	416.0	2.28692
WT9	5.60949185294	574.372881356	390.0	2.00109
