	shannon	chao1	observed_otus	PD_whole_tree
KO6	5.88967836091	213.260869565	120.0	1.12644
WT8	4.64382255573	154.5	84.0	1.0669
KO2	5.79642289026	209.047619048	119.0	1.53624
KO5	5.75971037771	257.0	119.0	1.1723
OE2	5.31192642694	185.555555556	100.0	1.03176
WT1	4.90297737226	186.4375	97.0	1.57443
WT2	5.49535131585	228.882352941	114.0	1.78609
WT4	5.74007506962	240.0	126.0	1.46263
KO7	5.61745648061	213.047619048	114.0	1.27423
KO3	4.38329818902	164.153846154	81.0	1.26118
WT6	5.22818516188	192.076923077	94.0	1.01656
OE4	5.55858934102	249.166666667	115.0	1.44309
KO9	5.52807119776	192.588235294	102.0	1.3784
WT3	5.8050531439	165.125	112.0	1.46638
KO1	5.54712173428	187.772727273	110.0	1.21314
KO4	5.62388059937	224.0	112.0	1.22104
WT5	5.12998830395	144.555555556	92.0	1.44926
KO8	5.44744772928	220.473684211	111.0	1.59121
OE6	5.35358117197	153.4	97.0	1.28053
OE5	5.53247867757	221.375	107.0	1.27671
WT7	5.68122456798	219.0	115.0	1.31553
OE7	5.27398279338	190.714285714	96.0	1.58089
WT9	5.18180078501	216.0	104.0	1.54705
OE1	5.71390985105	254.1875	116.0	1.37127
OE8	5.62497994627	246.0625	112.0	1.27984
OE9	5.45090770526	194.833333333	103.0	1.08055
OE3	5.24228032903	204.526315789	105.0	1.04253
