	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.21050071803	340.5	204.0	1.72604
WT8	4.97584454355	316.681818182	162.0	1.25482
KO2	6.04279767208	362.464285714	203.0	1.88711
KO5	5.79248727647	352.567567568	205.0	1.40068
OE2	5.67669027894	306.034482759	180.0	1.67802
WT1	5.22764657522	270.024390244	185.0	1.62008
WT2	5.72277052218	352.756756757	208.0	1.88973
WT4	5.86114548083	359.03030303	206.0	1.71008
KO7	5.6580590062	356.115384615	188.0	1.60412
KO3	4.72681470523	279.535714286	158.0	1.31498
WT6	5.7098360604	306.103448276	183.0	1.64736
OE4	5.67306868765	277.75	179.0	1.46618
KO9	5.96415786522	379.043478261	189.0	1.72414
WT3	5.88283443738	321.96875	194.0	1.89459
KO1	5.62202994858	248.375	179.0	1.82231
KO4	5.75981801601	305.794117647	188.0	1.6718
WT5	5.58861939492	356.416666667	182.0	1.95124
KO8	5.73294530328	289.682926829	192.0	1.84079
OE6	5.7155626005	341.0	175.0	1.66893
OE5	5.69033495231	296.607142857	178.0	1.25373
WT7	5.96480076764	334.206896552	193.0	1.86288
OE7	5.66413841454	305.6	176.0	1.83119
WT9	5.43042548725	307.96875	180.0	1.86663
OE1	5.68180750601	281.222222222	170.0	1.61817
OE8	5.82080513218	277.757575758	182.0	1.69444
OE9	5.65577661204	249.2	171.0	1.27364
OE3	5.47784686099	286.857142857	174.0	1.64068
