	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.41251826046	564.767857143	386.0	2.29264
WT8	5.12872704627	465.217391304	310.0	2.02124
KO2	6.19664765128	582.306122449	378.0	2.18838
KO5	6.13536509495	527.685185185	370.0	2.07199
WT1	5.46580253854	550.319148936	355.0	2.21923
WT2	6.04116024195	568.949152542	392.0	2.25177
WT4	6.04361733283	616.310344828	397.0	2.13965
KO7	5.95051655511	493.518518519	350.0	2.04916
KO3	4.8722500558	474.022222222	318.0	2.09694
WT6	5.84847793761	510.637931034	357.0	2.07671
KO9	6.05492807889	503.962264151	353.0	2.09378
WT3	6.07223975519	535.517857143	374.0	2.30696
KO1	5.83518610696	536.857142857	355.0	2.26351
KO4	6.0341465508	512.442307692	361.0	2.04978
WT5	5.64371301976	565.837209302	346.0	2.16065
KO8	5.94857548396	539.645833333	354.0	2.09394
WT7	6.20488833511	502.163934426	371.0	2.10959
WT9	5.6060816222	537.524590164	364.0	2.22035
