	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.38313617695	562.0	409.0	2.15971
WT8	5.18842362029	485.714285714	340.0	2.03568
KO2	6.22245709291	601.661290323	419.0	2.27945
KO5	6.24021847729	536.916666667	415.0	2.21426
WT1	5.44141378371	515.137931034	375.0	2.26299
WT2	6.00633196688	591.909090909	415.0	2.29513
WT4	6.07941586485	645.164383562	453.0	2.16129
KO7	6.07213349612	599.615384615	416.0	2.29291
KO3	4.92385785163	548.32	362.0	2.20338
WT6	5.87907006174	519.222222222	378.0	2.10192
KO9	6.09629204276	550.12	385.0	2.22201
WT3	6.09340320556	527.304347826	402.0	2.27109
KO1	5.90639533067	605.482758621	405.0	2.22556
KO4	6.05059985077	560.559322034	398.0	2.29338
WT5	5.68429754793	567.069767442	366.0	2.19722
KO8	5.96823838056	547.0	367.0	2.03301
WT7	6.24201029579	600.661290323	418.0	2.10164
WT9	5.59960836398	510.0	379.0	2.27034
