	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.34806715848	500.3125	344.0	2.21979
WT8	5.0818539791	424.558139535	280.0	1.92301
KO2	6.19585673263	533.170212766	352.0	1.97507
KO5	6.11079365984	493.632653061	338.0	2.17536
WT1	5.47882160248	546.488372093	333.0	2.21891
WT2	5.94791893142	545.025	345.0	2.24211
WT4	6.03435424543	607.519230769	369.0	2.00192
KO7	5.97338303222	486.307692308	330.0	2.05699
KO3	4.95510952649	483.525	299.0	1.98725
WT6	5.8613592893	494.769230769	336.0	1.83685
KO9	6.14433908254	501.0625	337.0	2.29202
WT3	6.04992334612	474.75	326.0	2.26926
KO1	5.89046013153	517.523809524	324.0	2.21638
KO4	5.90366253242	463.375	322.0	2.07171
WT5	5.58894179035	431.083333333	288.0	2.11673
KO8	5.9225815538	424.411764706	309.0	2.0434
WT7	6.24199480501	518.928571429	355.0	2.06429
OE7	5.70492916321	406.734693878	291.0	2.02472
WT9	5.615255951	535.727272727	324.0	1.99764
OE9	5.87335548509	425.418604651	296.0	1.97365
