	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.34739144847	568.0	398.0	2.13772
WT8	5.16371594272	520.395833333	343.0	2.01367
KO2	6.22929864533	574.216666667	405.0	2.19098
KO5	6.19316191575	585.517241379	408.0	2.19147
WT1	5.50598721521	574.701754386	389.0	2.04921
WT2	6.08546033385	617.769230769	417.0	2.28535
WT4	6.10367916306	578.529411765	425.0	2.12971
KO7	6.00626726978	508.52173913	387.0	2.09454
KO3	4.89093922017	432.192307692	319.0	2.0212
WT6	5.85563240891	504.25	373.0	2.1908
KO9	6.11455606262	516.163934426	385.0	2.10089
WT3	6.093492797	551.553846154	404.0	2.35187
KO1	5.88623532643	502.529411765	383.0	2.20206
KO4	6.02000071357	591.078431373	392.0	2.24178
WT5	5.68636160719	513.518518519	363.0	2.04047
KO8	5.9745886421	553.962264151	373.0	2.11518
WT7	6.2203755021	664.553571429	420.0	2.30131
WT9	5.56893721562	495.308823529	372.0	2.22038
