	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.41464695264	627.241935484	447.0	2.32897
WT8	5.14231916147	475.818181818	373.0	2.05826
KO2	6.22481667774	669.0	464.0	2.25777
KO5	6.23081412864	652.0	468.0	2.28539
WT1	5.52697539408	621.333333333	420.0	2.24787
WT2	6.03849119581	607.875	447.0	2.28571
WT4	6.08553036118	632.077922078	471.0	2.15225
KO7	6.02619639816	575.223880597	430.0	2.22755
KO3	4.91255328221	568.734693878	373.0	2.16067
WT6	5.84169181377	610.018518519	414.0	2.15293
KO9	6.12260712618	536.318181818	417.0	2.28041
WT3	6.08447489949	622.380952381	445.0	2.35187
KO1	5.9303353647	572.083333333	435.0	2.24913
KO4	5.99909421406	666.428571429	426.0	2.30807
WT5	5.67973405707	509.424242424	392.0	2.2042
KO8	5.96344204903	609.052631579	413.0	2.26273
WT7	6.21809211696	582.014285714	439.0	2.12365
WT9	5.65186970112	548.459016393	411.0	2.24898
