	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.39542544251	636.017241379	451.0	2.31491
WT8	5.15634417865	621.357142857	383.0	2.05828
KO2	6.25893374493	626.037974684	473.0	2.25777
KO5	6.21703091189	609.661764706	454.0	2.19694
WT1	5.48373005758	522.72972973	418.0	2.27001
WT2	6.0231471716	623.428571429	460.0	2.25
WT4	6.1150434151	640.077922078	479.0	2.13047
KO7	6.04061820641	604.362068966	439.0	2.31475
KO3	4.92217880149	517.288461538	373.0	2.17789
WT6	5.86075951778	554.368421053	414.0	2.16559
KO9	6.16293844776	606.872727273	435.0	2.21132
WT3	6.09807579284	580.592105263	447.0	2.35187
KO1	5.93851226038	631.862068966	434.0	2.2385
KO4	6.01827124059	547.045454545	420.0	2.17458
WT5	5.68359738835	568.467741935	407.0	2.21857
KO8	5.95300420404	579.0	423.0	2.03222
WT7	6.22157685511	695.23880597	468.0	2.27869
WT9	5.58372155388	561.318181818	416.0	2.27282
