	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.28310636926	498.052631579	307.0	2.19033
WT8	5.17604228619	433.526315789	258.0	1.86224
KO2	6.15054024143	448.25	297.0	1.97388
KO5	6.04816619294	404.772727273	290.0	1.81772
WT1	5.43696767249	487.025	287.0	2.20393
WT2	5.92951491717	483.75	320.0	2.16997
WT4	5.94973089861	491.523809524	307.0	1.9613
KO7	5.92322321458	426.1875	292.0	2.13599
KO3	4.81744533007	367.772727273	253.0	1.81454
WT6	5.85425798687	408.277777778	289.0	2.05789
KO9	6.05624331937	462.166666667	295.0	1.97451
WT3	6.02470369925	433.75	301.0	2.16754
KO1	5.86042651189	439.352941176	297.0	2.11513
KO4	6.01136133658	491.857142857	310.0	2.20516
WT5	5.54235253323	364.902439024	256.0	1.92331
KO8	5.92094563404	444.0	279.0	2.01444
OE6	5.72616168208	392.0	262.0	1.8558
OE5	5.85610027666	361.0	268.0	1.86655
WT7	6.19841753799	451.52173913	304.0	1.91284
OE7	5.68865638398	364.902439024	256.0	1.9336
WT9	5.55969930935	369.609375	281.0	2.10294
OE1	5.87939666191	530.285714286	271.0	1.96222
OE9	5.84118410916	394.775	266.0	1.95124
