	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.39226323643	588.703125	441.0	2.29278
WT8	5.16982795057	514.474576271	381.0	2.05842
KO2	6.24092749511	594.888888889	466.0	2.25636
KO5	6.18988577149	699.678571429	461.0	2.24207
WT1	5.51038282239	551.014925373	420.0	2.2412
WT2	6.03347000009	674.903846154	460.0	2.28659
WT4	6.10621514287	712.109375	485.0	2.15147
KO7	6.00603928685	556.015384615	423.0	2.17426
KO3	4.93123670835	515.642857143	394.0	2.22221
WT6	5.87609246148	551.241935484	416.0	2.17656
KO9	6.11006443881	589.85	430.0	2.22376
WT3	6.10586991265	587.835443038	452.0	2.35187
KO1	5.92053773271	626.655737705	441.0	2.26371
KO4	6.0317879608	604.226415094	418.0	2.22776
WT5	5.68990547921	546.068965517	397.0	2.21877
KO8	5.95470764183	614.266666667	423.0	2.24058
WT7	6.18533891516	647.058823529	460.0	2.13187
WT9	5.63339936888	579.671641791	426.0	2.2852
