	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.28081158663	446.162790698	299.0	2.17134
WT8	5.04879625304	381.372093023	247.0	1.56057
KO2	6.18032320186	481.695652174	305.0	2.12228
KO5	6.16238569374	409.25862069	304.0	2.01601
WT1	5.36784924512	453.823529412	271.0	1.95479
WT2	5.92373276128	448.355932203	317.0	2.23653
WT4	5.94956237308	530.45	311.0	2.05808
KO7	5.95216062904	392.595744681	283.0	2.18149
KO3	4.81322119578	573.935483871	269.0	1.88207
WT6	5.83301163811	430.685185185	294.0	1.83938
KO9	6.09113114236	448.763157895	291.0	1.88425
WT3	6.03523424043	441.982142857	308.0	1.98088
KO1	5.80462468288	370.06	275.0	2.10843
KO4	5.89394027237	448.25	297.0	2.02028
WT5	5.61075624174	370.212765957	267.0	2.1162
KO8	5.93438839607	455.046511628	289.0	1.96585
OE6	5.72664283382	453.37037037	255.0	1.78287
OE5	5.82566493846	417.085714286	267.0	1.84608
WT7	6.13153711085	554.090909091	300.0	2.1402
OE7	5.66212327572	378.384615385	254.0	1.83939
WT9	5.56144648755	394.288461538	279.0	1.93321
OE1	5.88392240325	437.583333333	268.0	1.94736
OE9	5.84681087589	370.275	261.0	1.91402
