	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.4553526154	681.880597015	475.0	2.31505
WT8	5.16950196706	559.117647059	387.0	2.05828
KO2	6.22729895515	687.225806452	469.0	2.27961
KO5	6.20644968525	686.0	455.0	2.28539
WT1	5.4701612947	602.524590164	429.0	2.28486
WT2	5.99884373727	635.766666667	452.0	2.24941
WT4	6.08571206447	692.961538462	491.0	2.17423
KO7	6.04889766654	630.0	435.0	2.28547
KO3	4.89713070501	488.567164179	382.0	2.18817
WT6	5.87937553262	559.632653061	404.0	2.21258
KO9	6.13453845684	553.685185185	417.0	2.30205
WT3	6.09756576906	575.291666667	444.0	2.33749
KO1	5.93482428548	621.25	435.0	2.26032
KO4	5.99227779596	613.838709677	436.0	2.28631
WT5	5.70328249322	561.75	398.0	2.17407
KO8	5.9957521924	690.528301887	429.0	2.28629
WT7	6.19855139705	638.347826087	454.0	2.21259
WT9	5.63864776896	548.4	423.0	2.26274
