	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.27385560219	431.0	233.0	1.73414
WT8	5.06289124348	375.24	189.0	1.66569
KO2	6.10987213576	408.583333333	239.0	1.85774
KO5	5.98592732548	310.0	221.0	1.77958
OE2	5.64144597306	282.023255814	199.0	1.86984
WT1	5.42063491558	428.217391304	213.0	1.9791
WT2	5.82361970359	371.216216216	232.0	1.99623
WT4	6.01743152105	428.363636364	240.0	1.93542
KO7	5.86893914463	401.137931034	220.0	1.80634
KO3	4.77761189956	312.375	190.0	1.69147
WT6	5.54129775226	286.022727273	201.0	1.43061
OE4	5.71935050445	312.333333333	206.0	1.44419
KO9	5.95632818744	416.117647059	230.0	2.03029
WT3	5.91625059369	407.689655172	223.0	1.92427
KO1	5.81871432816	362.285714286	218.0	1.93726
KO4	5.79005388753	315.375	213.0	1.83649
WT5	5.68476914032	281.162162162	200.0	1.95265
KO8	5.86953204879	308.965517241	200.0	1.6209
OE6	5.69228527088	276.058823529	190.0	1.61086
OE5	5.7282183009	277.285714286	198.0	1.76528
WT7	6.04032343746	353.103448276	215.0	1.92944
OE7	5.67346862161	282.028571429	194.0	1.72482
WT9	5.478356164	361.0	211.0	1.79411
OE1	5.80583836328	371.142857143	193.0	1.70431
OE8	5.83617542276	336.323529412	205.0	1.89392
OE9	5.72958496963	335.034482759	200.0	1.62141
OE3	5.52123634107	320.730769231	193.0	1.75212
