	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.40745121757	565.151515152	424.0	2.30758
WT8	5.17179287532	512.865384615	359.0	2.01121
KO2	6.20931252962	547.228915663	430.0	2.07983
KO5	6.17618967985	642.058823529	420.0	2.17584
WT1	5.50319205323	565.064516129	399.0	2.24823
WT2	6.03546425005	593.615384615	433.0	2.27115
WT4	6.11414031085	612.647058824	463.0	2.15229
KO7	6.03909066725	600.157894737	417.0	2.33009
KO3	4.87758643955	541.25	365.0	2.16309
WT6	5.8903477674	560.948275862	405.0	2.16574
KO9	6.1124280973	563.684210526	405.0	2.28053
WT3	6.08335798784	621.949152542	430.0	2.33735
KO1	5.91272047103	552.082191781	413.0	2.21229
KO4	5.97616145414	623.318181818	399.0	2.35159
WT5	5.67642796011	519.038461538	370.0	2.22619
KO8	5.93468755221	583.017857143	394.0	2.022
WT7	6.20282383876	627.084745763	430.0	2.13123
WT9	5.63093564704	553.55	396.0	2.10754
