	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.35050525676	577.438596491	414.0	2.11587
WT8	5.13719983825	453.054545455	348.0	2.01421
KO2	6.27576672652	659.638888889	453.0	2.27961
KO5	6.20107937353	604.4375	416.0	2.02612
WT1	5.52419579651	561.904761905	403.0	2.2412
WT2	6.03672632736	594.875	434.0	2.32497
WT4	6.06612617274	598.514285714	441.0	2.12985
KO7	6.05822245377	548.394366197	421.0	2.2271
KO3	4.84856570367	458.181818182	339.0	2.14839
WT6	5.86841008538	526.157894737	388.0	1.98875
KO9	6.11778966616	627.117647059	408.0	2.11554
WT3	6.07982146164	524.567567568	413.0	2.31489
KO1	5.87561674901	587.5	405.0	2.24865
KO4	6.00007704444	604.708333333	402.0	2.24643
WT5	5.70521305107	491.05	376.0	1.99697
KO8	5.98035922661	560.181818182	402.0	2.10803
WT7	6.22552931578	595.567164179	431.0	2.08678
WT9	5.62200941523	553.967213115	399.0	2.27082
