	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.39833261065	622.394366197	465.0	2.1159
WT8	5.15833911632	517.157894737	379.0	2.05826
KO2	6.26262841506	674.987012987	484.0	2.24339
KO5	6.19330792222	600.214285714	449.0	2.28553
WT1	5.523184259	522.623529412	427.0	2.24096
WT2	6.04756719107	665.862068966	468.0	2.35203
WT4	6.06398117503	589.894736842	480.0	2.15245
KO7	6.04072493947	561.090909091	422.0	2.33002
KO3	4.90483767304	607.679245283	394.0	2.21363
WT6	5.85807177708	604.319148936	409.0	2.1237
KO9	6.07687178491	538.281690141	422.0	2.14883
WT3	6.09758713326	614.818181818	450.0	2.19667
KO1	5.95009444773	635.131147541	442.0	2.24865
KO4	6.00397765077	638.0	443.0	2.15184
WT5	5.67935958813	573.56	398.0	2.24076
KO8	5.99727901548	674.88372093	415.0	2.26398
WT7	6.20588125463	698.171875	463.0	2.27915
WT9	5.60904796146	567.0	424.0	2.26274
