	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.37553635022	452.790697674	303.0	2.1091
WT8	5.12164635262	489.333333333	271.0	1.92253
KO2	6.1623747774	449.944444444	311.0	1.99618
KO5	6.1283469037	394.964912281	301.0	1.93115
WT1	5.37366450301	437.578947368	274.0	2.13842
WT2	5.98671731662	495.695652174	319.0	2.14964
WT4	5.94086449936	523.166666667	311.0	2.04835
KO7	5.93584139714	406.145833333	288.0	1.91358
KO3	4.85959361729	380.692307692	246.0	2.10319
WT6	5.7908861231	410.388888889	289.0	1.85583
KO9	6.05156416909	417.0	302.0	1.83662
WT3	6.01760685641	391.185185185	292.0	2.0936
KO1	5.90702019833	443.285714286	300.0	2.1573
KO4	5.90197427727	397.115384615	286.0	2.24334
WT5	5.56361475165	394.705882353	275.0	1.90974
KO8	5.8898811377	438.636363636	270.0	1.93658
OE6	5.73321364156	401.0	261.0	1.8742
OE5	5.87793801612	420.567567568	273.0	1.91176
WT7	6.09935773956	566.052631579	310.0	1.85765
OE7	5.63632918579	377.454545455	245.0	1.91466
WT9	5.52646368458	384.222222222	272.0	2.07056
OE1	5.85216840194	428.636363636	260.0	1.96222
OE9	5.85163591484	422.583333333	268.0	1.87331
