	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.35865436076	608.949152542	432.0	2.11512
WT8	5.19474375347	526.5	369.0	2.05814
KO2	6.25198380455	722.181818182	461.0	2.25686
KO5	6.20114816101	604.85	438.0	2.24173
WT1	5.48134145131	568.671641791	415.0	2.26985
WT2	6.01687552867	597.041666667	448.0	2.32973
WT4	6.11900129018	615.076923077	466.0	2.15245
KO7	6.08475763324	610.122807018	432.0	2.29215
KO3	4.96281484973	561.568181818	371.0	2.23532
WT6	5.86015389047	613.769230769	413.0	2.12384
KO9	6.07132636197	627.630434783	410.0	2.28574
WT3	6.08666870309	588.0	441.0	2.35187
KO1	5.89211912862	554.014705882	415.0	2.19452
KO4	6.03319489395	570.313432836	423.0	2.28611
WT5	5.70046963303	534.428571429	387.0	2.22652
KO8	5.96096276887	592.878787879	419.0	2.2124
WT7	6.20482130217	663.964912281	438.0	2.30145
WT9	5.6054072118	582.611111111	405.0	2.30732
