	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.36637783938	576.568181818	371.0	2.02629
WT8	5.13118864873	594.0	330.0	1.95163
KO2	6.14605750572	546.603448276	374.0	2.18873
KO5	6.12864263697	507.046875	374.0	1.93861
WT1	5.50509524278	490.909090909	350.0	2.20392
WT2	6.02512474923	511.775862069	376.0	2.21603
WT4	6.00738695346	581.109090909	386.0	2.10756
KO7	5.99858329239	543.170212766	362.0	2.07034
KO3	4.83062576817	498.588235294	299.0	2.0484
WT6	5.81985881087	553.4	356.0	1.92119
KO9	6.07595150521	521.132075472	358.0	2.10293
WT3	6.03177987517	486.101694915	361.0	2.30653
KO1	5.91426464417	567.022222222	360.0	2.16517
KO4	6.01589563455	490.716981132	356.0	2.06447
WT5	5.7042854807	482.8	340.0	2.00472
KO8	5.92104797917	496.022222222	332.0	1.96207
WT7	6.16919698838	556.406779661	377.0	2.03528
WT9	5.61037493148	491.810344828	345.0	2.17245
