	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.41073455957	560.915254237	396.0	2.29291
WT8	5.14120024348	455.565217391	318.0	1.93426
KO2	6.21606698423	666.365384615	403.0	2.23494
KO5	6.19631649748	572.454545455	393.0	2.1598
WT1	5.45732045192	468.739130435	360.0	2.2409
WT2	6.02384594056	557.807692308	389.0	2.24283
WT4	6.04217134698	637.666666667	415.0	2.11687
KO7	6.01534999237	534.117647059	362.0	1.74329
KO3	4.88961988187	408.06122449	305.0	2.13292
WT6	5.83800635186	515.962264151	365.0	2.00991
KO9	6.09703743485	536.195652174	365.0	2.26262
WT3	6.06070037252	563.784313725	373.0	2.27095
KO1	5.86949016072	610.957446809	370.0	2.22396
KO4	6.03194645729	510.944444444	372.0	2.19785
WT5	5.69036428739	534.857142857	353.0	2.16723
KO8	5.94737312197	563.5	355.0	1.99921
WT7	6.20288241842	534.553846154	387.0	2.25657
WT9	5.60780973655	491.596491228	349.0	2.1128
