	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.11650488656	388.84	214.0	1.58875
WT8	5.04092434465	315.8125	185.0	1.77826
KO2	6.09386936493	382.45	238.0	2.0687
KO5	6.13174454508	395.303030303	233.0	1.84343
OE2	5.6909587482	365.085714286	215.0	1.88429
WT1	5.39364838563	332.848484848	206.0	1.94644
WT2	5.85574454384	379.75	241.0	2.09809
WT4	5.95212392002	418.033333333	229.0	1.89931
KO7	5.90258838839	301.375	210.0	1.98284
KO3	4.73114605552	334.038461538	180.0	1.81556
WT6	5.68727222301	348.894736842	216.0	1.39341
OE4	5.69999277859	329.15625	204.0	1.47198
KO9	6.00427320042	322.757575758	212.0	1.7975
WT3	5.99691952945	374.916666667	229.0	1.77189
KO1	5.75266448589	311.885714286	205.0	1.91374
KO4	5.89840988741	411.285714286	220.0	1.99495
WT5	5.5213699103	347.032258065	203.0	1.37125
KO8	5.81502941075	353.794117647	214.0	1.84875
OE6	5.65833915638	428.0	203.0	1.78199
OE5	5.80222668662	300.947368421	207.0	1.44923
WT7	6.06273708557	418.823529412	236.0	1.9049
OE7	5.57446023411	284.275862069	186.0	1.63088
WT9	5.41585299699	306.341463415	202.0	1.84986
OE1	5.83355315657	326.222222222	194.0	1.76568
OE8	5.88038905024	323.176470588	208.0	1.81086
OE9	5.81753779939	323.666666667	205.0	1.8715
OE3	5.42254852163	270.6	187.0	1.80081
