	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.43169589051	557.593220339	402.0	2.07037
WT8	5.1558832161	510.018518519	345.0	1.97011
KO2	6.24614912273	596.012987013	439.0	2.14609
KO5	6.2057332888	536.142857143	391.0	2.17528
WT1	5.53322886039	529.322033898	385.0	2.17956
WT2	6.00115267432	531.217391304	404.0	2.21608
WT4	6.04194125868	645.126760563	438.0	2.10656
KO7	6.00692226416	555.211267606	402.0	2.08504
KO3	4.83996344841	480.833333333	335.0	1.96646
WT6	5.87155614293	537.47826087	369.0	1.94472
KO9	6.13383431808	510.474576271	377.0	2.32929
WT3	6.08029264117	563.75862069	396.0	2.29277
KO1	5.90819873461	514.015151515	385.0	2.09365
KO4	6.02625512954	602.609756098	382.0	2.15287
WT5	5.6536424812	520.857142857	348.0	2.0417
KO8	6.00046535809	535.047619048	385.0	2.10711
WT7	6.17967534453	612.722222222	403.0	2.10968
WT9	5.62398900908	578.722222222	380.0	2.10188
