	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.3601490027	539.936170213	367.0	2.0933
WT8	5.17130383778	439.1	308.0	1.9986
KO2	6.24508441006	595.117647059	376.0	2.25689
KO5	6.16357746665	510.58490566	362.0	1.92002
WT1	5.47325385893	508.882352941	347.0	2.24773
WT2	5.99861937883	581.708333333	379.0	2.29311
WT4	6.12417977323	565.28	402.0	2.08542
KO7	5.98383881749	527.523809524	343.0	2.21928
KO3	4.89837707856	423.282608696	300.0	2.10367
WT6	5.87009332329	539.523809524	346.0	1.8981
KO9	6.08054008862	556.0	358.0	1.99636
WT3	6.06087642058	532.942307692	359.0	2.27079
KO1	5.86174169464	524.362068966	359.0	2.14962
KO4	5.99325528108	515.660377358	355.0	2.05092
WT5	5.58264873272	460.87755102	320.0	2.19783
KO8	5.96221030645	480.163265306	332.0	2.10189
WT7	6.13046079218	531.263157895	363.0	2.05722
WT9	5.6177005472	519.055555556	344.0	2.18609
